notebook	rc	cells	outputs	errors	note
book/labs/lab5_neural_networks.ipynb	0	17	31	1	
book/labs/lab6_multiclass_classification.ipynb	0	26	32	14	
book/labs/lab7_regression.ipynb	0	22	30	7	
book/labs/lab8_survival_analysis.ipynb	0	20	26	8	
book/labs/lab9_probabilistic_regression.ipynb	0	20	27	11	
book/labs/lab10_clustering.ipynb	0	18	28	4	
book/labs/lab11_dimensionality_reduction.ipynb	0	16	22	3	
book/labs/lab12_graph_data.ipynb	0	31	88	1	
book/labs/lab13_ordinal_sequences.ipynb	1	32	0	0	
book/labs/lab14_images.ipynb	1	35	0	0	
book/labs/lab15_timeseries.ipynb	0	28	62	0	
book/labs/lab16_event_streams_MEDS.ipynb	0	29	29	12	
book/lectures/nb-21-imaging-data.ipynb	1	14	18	12	
book/lectures/nb-22-imaging-modeling.ipynb	1	16	25	14	
book/lectures/nb-24-causality-fairness.ipynb	0	10	13	5	
